Date,CRED Holding Co Ltd
20100103,58.607722230288815
20100104,59.94143515371093
20100105,61.873594451674904
20100106,58.546920199035945
20100107,59.64944502437961
20100108,59.13294432045564
20100109,59.13294432045564
20100110,59.13294432045564
20100111,61.64127766965008
20100112,63.55260760980827
20100113,63.8113939839323
20100114,63.8435221526349
20100115,63.570418047508966
20100116,63.570418047508966
20100117,63.570418047508966
20100118,61.950329348577085
20100119,63.14770700514069
20100120,65.66088020786034
20100121,64.21123203996936
20100122,66.60115513699233
20100123,66.60115513699233
20100124,66.60115513699233
20100125,69.11255655534755
20100126,72.00840277451694
20100127,70.81284299252778
20100128,70.9798327249879
20100129,71.40698022330602
20100130,71.40698022330602
20100131,71.40698022330602
20100201,66.63390061502953
20100202,67.49236287155477
20100203,67.58564263330013
20100204,66.09269063077039
20100205,67.95082094048095
20100206,67.95082094048095
20100207,67.95082094048095
20100208,67.20251423258223
20100209,66.69339548334658
20100210,65.06101274086856
20100211,65.34950631058769
20100212,65.0442377859963
20100213,65.0442377859963
20100214,65.0442377859963
20100215,65.0442377859963
20100216,65.0442377859963
20100217,65.0442377859963
20100218,65.0442377859963
20100219,65.0442377859963
20100220,65.0442377859963
20100221,65.0442377859963
20100222,64.20682319694481
20100223,63.4667706648774
20100224,62.554245946866644
20100225,62.173292811194784
20100226,61.80479406818704
20100227,61.80479406818704
20100228,61.80479406818704
20100301,61.263752027937436
20100302,62.08076668059207
20100303,62.216003160048594
20100304,58.132109602742275
20100305,59.47763508269343
20100306,59.47763508269343
20100307,59.47763508269343
20100308,59.62120227088023
20100309,60.16939175258293
20100310,60.18816010122562
20100311,61.78370043894944
20100312,61.691851825309634
20100313,61.691851825309634
20100314,61.691851825309634
20100315,60.50198351614755
20100316,60.26662817200894
20100317,59.17482552278376
20100318,57.16270289404076
20100319,54.067260293904475
20100320,54.067260293904475
20100321,54.067260293904475
20100322,54.04321277141287
20100323,52.27409820993631
20100324,52.81162327511333
20100325,55.59625545824493
20100326,53.58997327632554
20100327,53.58997327632554
20100328,53.58997327632554
20100329,53.76769376193183
20100330,54.5872838536769
20100331,50.094413529482225
